yang	- 35,955,302-
rambu	- 13,761-
keping	- 13,743-
lele	- 13,741-
pusaka	- 13,740-
aksara	- 13,738-
polos	- 13,724-
takhta	- 13,671-
frustrasi	- 13,612-
seram	- 13,592-
beta	- 13,580-
pesimis	- 13,577-
hampar	- 13,569-
sinyalir	- 13,567-
mending	- 13,488-
celsius	- 13,473-
padan	- 13,450-
pintas	- 13,415-
sirat	- 13,413-
gugus	- 13,409-
aki	- 13,408-
taksir	- 13,407-
binasa	- 13,391-
gabah	- 13,386-
arak	- 13,348-
kontras	- 13,342-
kompromi	- 13,330-
mahir	- 13,326-
genre	- 13,275-
mumpuni	- 13,271-
tepis	- 13,268-
melati	- 13,244-
damba	- 13,219-
map	- 13,187-
giur	- 13,172-
rapuh	- 13,143-
sokong	- 13,143-
tindih	- 13,139-
duda	- 13,129-
kompresi	- 13,087-
paut	- 13,068-
adon	- 13,017-
kancah	- 12,995-
licin	- 12,971-
sambar	- 12,942-
mah	- 12,918-
kilang	- 12,889-
telak	- 12,868-
teduh	- 12,841-
iseng	- 12,836-
buntut	- 12,829-
aborsi	- 12,824-
rudal	- 12,782-
random	- 12,766-
purba	- 12,758-
salak	- 12,756-
sensus	- 12,722-
gapai	- 12,708-
janggal	- 12,705-
ulat	- 12,704-
karat	- 12,695-
pilah	- 12,661-
gerbong	- 12,615-
moto	- 12,607-
ganjal	- 12,583-
maki	- 12,574-
fantastis	- 12,560-
raba	- 12,542-
paragraf	- 12,515-
kidul	- 12,513-
robek	- 12,504-
sunat	- 12,500-
semat	- 12,455-
liang	- 12,446-
pukau	- 12,426-
tikai	- 12,376-
berantak	- 12,370-
pampang	- 12,336-
serbuk	- 12,277-
latar; belakang	- 12,266-
aura	- 12,252-
jeli	- 12,214-
optik	- 12,211-
parasit	- 12,198-
kantuk; antuk	- 12,193-
notaris	- 12,183-
rotasi	- 12,148-
bising	- 12,090-
jangkit	- 12,056-
tekuk	- 12,054-
rayu	- 12,003-
pudar	- 11,969-
geng	- 11,964-
jikalau	- 11,940-
legitimasi	- 11,935-
menstruasi	- 11,923-
diagram	- 11,905-
angguk	- 11,901-
lengkung	- 11,901-
bungsu	- 11,823-
kubik	- 11,815-
kerumun	- 11,809-
stan	- 11,773-
belit	- 11,753-
betah	- 11,746-
draf	- 11,733-
intern	- 11,703-
gelintir	- 11,698-
sahur	- 11,689-
etis	- 11,670-
kapur	- 11,651-
munafik	- 11,616-
sindir	- 11,503-
kiblat	- 11,496-
fanatik	- 11,485-
denyut	- 11,447-
gendong	- 11,443-
bit	- 11,426-
kumuh	- 11,417-
stamina	- 11,414-
hilal	- 11,412-
kicau	- 11,405-
hala	- 11,402-
les	- 11,390-
loket	- 11,389-
hirup	- 11,382-
usap	- 11,360-
gores	- 11,316-
gumpal	- 11,303-
ambruk	- 11,271-
lesu	- 11,258-
jeda	- 11,244-
sabet	- 11,220-
keji	- 11,209-
injeksi	- 11,205-
pawai	- 11,196-
feminin	- 11,192-
audiens	- 11,165-
orbit	- 11,164-
lempeng	- 11,150-
bangkai	- 11,135-
brosur	- 11,133-
pamit	- 11,130-
poros	- 11,113-
gembung	- 11,098-
ekspres	- 11,088-
autentik	- 11,071-
saldo	- 11,068-
jenguk	- 11,057-
tengger	- 11,053-
konstan	- 11,052-
moderat	- 11,050-
balok	- 11,043-
hara	- 11,043-
alun	- 11,041-
tampik	- 11,040-
monster	- 11,019-
ganjil	- 11,011-
sanggar	- 10,967-
selip	- 10,952-
kuak	- 10,933-
insulin	- 10,921-
oral	- 10,918-
geliat	- 10,903-
tuberkulosis	- 10,900-
laksamana	- 10,882-
serasi	- 10,878-
broker	- 10,876-
cilik	- 10,871-
ejek	- 10,831-
bilamana	- 10,798-
peleset	- 10,788-
hangus	- 10,781-
hanyut	- 10,763-
kontrasepsi	- 10,760-
tegar	- 10,750-
melulu	- 10,747-
obsesi	- 10,731-
slot	- 10,694-
sahaja	- 10,672-
tato	- 10,620-
metropolitan	- 10,564-
spam	- 10,554-
trek	- 10,549-
galau	- 10,536-
rais	- 10,525-
fakir	- 10,506-
hening	- 10,493-
karantina	- 10,459-
naluri	- 10,456-
tunang	- 10,422-
tragis	- 10,408-
hambur	- 10,401-
kerut	- 10,398-
derma	- 10,382-
antik	- 10,379-
suspensi	- 10,355-
jitu	- 10,328-
hujung	- 10,325-
panut	- 10,284-
statis	- 10,256-
komplet	- 10,240-
rempah	- 10,229-
kejap	- 10,135-
lah	- 10,125-
lincah	- 10,108-
cengkih	- 10,090-
usik	- 10,048-
racik	- 10,025-
lilit	- 10,020-
pamong	- 9,992-
terik	- 9,989-
sunyi	- 9,980-
pelesat	- 9,966-
pekat	- 9,964-
lendir	- 9,879-
rayap	- 9,872-
rental	- 9,851-
murka	- 9,831-
purna	- 9,830-
bilik	- 9,812-
piksel	- 9,802-
kilau	- 9,797-
serak	- 9,794-
kapas	- 9,767-
rileks	- 9,765-
getah	- 9,750-
helai	- 9,747-
setel	- 9,656-
gesa	- 9,651-
kutu	- 9,634-
karate	- 9,631-
mang	- 9,626-
kudung	- 9,596-
kera	- 9,586-
reli	- 9,569-
datuk	- 9,508-
radius	- 9,491-
kuarter	- 9,483-
sanak	- 9,473-
spektakuler	- 9,468-
gawat	- 9,462-
geram	- 9,441-
replikasi	- 9,430-
dialek	- 9,414-
valentin	- 9,412-
gravitasi	- 9,407-
jera	- 9,397-
mempelai	- 9,352-
amarah	- 9,343-
fantasi	- 9,331-
kaset	- 9,321-
percuma	- 9,285-
gulat	- 9,272-
amino	- 9,257-
atas; nama	- 9,250-
tikung	- 9,246-
marinir	- 9,242-
suni	- 9,228-
hibrida	- 9,219-
urgen	- 9,215-
tongkrong	- 9,213-
aktiva	- 9,206-
reporter	- 9,178-
pori	- 9,163-
walah	- 9,117-
kangen	- 9,102-
sampul	- 9,066-
mesum	- 9,063-
kargo	- 9,055-
lumbung	- 9,054-
genius	- 9,041-
iritasi	- 9,017-
jala	- 9,008-
tarawih	- 8,931-
gelincir	- 8,927-
antena	- 8,913-
jagat	- 8,897-
analog	- 8,889-
kek	- 8,886-
betis	- 8,861-
elok	- 8,832-
dok	- 8,637-
paralel	- 8,609-
risau	- 8,596-
log	- 8,590-
benjol	- 8,582-
keliar	- 8,567-
sulung	- 8,561-
bujur	- 8,549-
pose	- 8,522-
bandang	- 8,511-
syawal	- 8,454-
parit	- 8,414-
acuh	- 8,349-
flat	- 8,345-
familier	- 8,300-
kosmos	- 8,293-
trafik	- 8,268-
regang	- 8,256-
nikel	- 8,247-
antariksa	- 8,232-
tabloid	- 8,227-
katup	- 8,197-
nadi	- 8,190-
rangkak	- 8,179-
direktori	- 8,163-
tampar	- 8,139-
tiri	- 8,133-
sorak	- 8,005-
kocek	- 7,987-
partisi	- 7,975-
bolak; balik	- 7,961-
entri	- 7,948-
lantang	- 7,940-
bra	- 7,907-
condong	- 7,892-
automasi	- 7,833-
desah	- 7,821-
campak	- 7,806-
elak	- 7,790-
lauk	- 7,790-
geli	- 7,775-
vakum	- 7,755-
digit	- 7,733-
sindrom	- 7,714-
amatir	- 7,681-
jangkrik	- 7,681-
gerobak	- 7,677-
lawak	- 7,667-
kuah	- 7,655-
bantaran	- 7,648-
serakah	- 7,628-
pencak	- 7,581-
hampa	- 7,520-
tengkorak	- 7,500-
ornamen	- 7,475-
nano	- 7,459-
butik	- 7,452-
syok	- 7,447-
pancur	- 7,427-
afektif	- 7,368-
bule	- 7,363-
bandel	- 7,360-
rapor	- 7,352-
vihara	- 7,349-
platinum	- 7,322-
horor	- 7,228-
lak; elak	- 7,186-
kurir	- 7,178-
basuh	- 7,165-
barak	- 7,122-
famili	- 7,113-
kardus	- 7,015-
bengawan	- 6,991-
bijih	- 6,989-
patungan	- 6,981-
lambai	- 6,969-
fasih	- 6,962-
eja	- 6,947-
serambi	- 6,917-
gentar	- 6,912-
bugil	- 6,895-
beliung	- 6,870-
masif	- 6,813-
histeris	- 6,784-
marina	- 6,709-
jerami	- 6,663-
suram	- 6,659-
misi	- 6,604-
kubah	- 6,585-
sketsa	- 6,577-
tabir	- 6,510-
gundul	- 6,488-
turbin	- 6,454-
kelam	- 6,444-
piatu	- 6,410-
mistar	- 6,407-
mania	- 6,401-
tenggat	- 6,357-
skuter	- 6,349-
salip	- 6,339-
kusam	- 6,316-
lajang	- 6,305-
lafal	- 6,284-
bengkok	- 6,268-
petas	- 6,267-
kagak	- 6,259-
sungkan	- 6,088-
antero	- 6,034-
limit	- 6,000-
kunyit	- 5,995-
klimatologi	- 5,986-
disabilitas	- 5,985-
zebra	- 5,979-
perah; merah	- 5,974-
anjung	- 5,942-
buas	- 5,941-
marine	- 5,924-
ritme	- 5,897-
puing	- 5,842-
kosakata	- 5,840-
jua	- 5,827-
alien	- 5,786-
memar	- 5,783-
khatulistiwa	- 5,757-
orkestra	- 5,709-
monorel	- 5,604-
kayuh	- 5,597-
sebal	- 5,564-
bimbang	- 5,562-
brilian	- 5,532-
wetan	- 5,503-
ketupat	- 5,496-
beranda	- 5,485-
brankas	- 5,476-
kuping	- 5,468-
akustik	- 5,440-
nihil	- 5,426-
uterus	- 5,414-
faktur	- 5,398-
merdu	- 5,387-
impresi	- 5,362-
sepih	- 5,323-
magi	- 5,278-
nyali	- 5,192-
sirip	- 5,155-
canggung	- 5,143-
keledai	- 5,131-
waras	- 5,056-
tiram	- 5,054-
karang; arang	- 5,030-
punk	- 5,029-
embun	- 4,957-
lekas	- 4,920-
lumut	- 4,884-
konsili	- 4,854-
pankreas	- 4,846-
dinosaurus	- 4,845-
testis	- 4,826-
kompatibel	- 4,824-
bah	- 4,817-
sisik	- 4,787-
kantuk	- 4,765-
curam	- 4,752-
ofisial	- 4,742-
steroid	- 4,703-
lotus	- 4,678-
naif	- 4,620-
biadab	- 4,606-
rabies	- 4,594-
tar	- 4,569-
boks	- 4,470-
trailer	- 4,459-
sungkawa	- 4,433-
erotis	- 4,419-
pneumonia	- 4,399-
luwak	- 4,390-
gelanggang	- 4,370-
elo	- 4,322-
bokong	- 4,314-
ketan	- 4,304-
melodi	- 4,286-
sekarat	- 4,222-
karotena	- 4,168-
bot	- 4,167-
bas	- 4,165-
iga	- 4,148-
katering	- 4,118-
kapak	- 4,059-
tanker	- 4,043-
dubur	- 4,018-
ayah; anda	- 4,015-
aerobik	- 3,997-
perkakas	- 3,951-
gegabah	- 3,938-
polio	- 3,916-
rewel	- 3,910-
tisu	- 3,881-
katedral	- 3,868-
omel	- 3,862-
insting	- 3,860-
jimat	- 3,806-
kanguru	- 3,768-
samba	- 3,751-
galon	- 3,713-
maskot	- 3,695-
kuas	- 3,691-
belalang	- 3,613-
milenium	- 3,536-
tegap	- 3,526-
sembelit	- 3,462-
lonceng	- 3,376-
jinjing	- 3,338-
nakhoda	- 3,312-
rinding	- 3,308-
jip	- 3,245-
gigil	- 3,244-
bikini	- 3,165-
stik	- 3,158-
kalkulator	- 3,154-
mikrofon	- 3,129-
vampir	- 3,118-
jumbo	- 3,079-
hamster	- 3,077-
klakson	- 3,046-
kumur	- 3,038-
blender	- 3,036-
medio	- 3,022-
cawan	- 2,999-
mantel	- 2,991-
martabak	- 2,948-
yak	- 2,934-
kasino	- 2,882-
pirang	- 2,851-
receh	- 2,818-
tolol	- 2,776-
oasis	- 2,751-
prefektur	- 2,673-
hambar	- 2,630-
trem	- 2,621-
judo	- 2,609-
imitasi	- 2,607-
penguin	- 2,537-
kadal	- 2,518-
poker	- 2,492-
herba	- 2,382-
prasmanan	- 2,349-
aspirin	- 2,259-
kubus	- 2,251-
seka	- 2,233-
matras	- 2,227-
cengeng	- 2,225-
faks	- 2,216-
lontong	- 2,211-
poni	- 2,130-
pelipis	- 2,086-
syal	- 2,037-
piknik	- 2,035-
temporal	- 1,975-
lavender	- 1,932-
blus	- 1,915-
zakar	- 1,910-
boling	- 1,864-
wol	- 1,858-
arloji	- 1,843-
kloset	- 1,820-
halloween	- 1,808-
aba-aba	- 1,804-
koil	- 1,736-
tupai	- 1,715-
misil	- 1,668-
kebab	- 1,595-
barikade	- 1,584-
nampan	- 1,472-
kolera	- 1,463-
wihara	- 1,436-
teko	- 1,431-
idiot	- 1,424-
campur; aduk	- 1,374-
goblok	- 1,353-
helium	- 1,338-
berengsek	- 1,319-
alibi	- 1,311-
asbak	- 1,243-
kalkun	- 1,231-
asparagus	- 1,172-
tarot	- 1,144-
joging	- 1,017-
lotre	- 1,000-
karamel	- 995-
kilir	- 993-
joker	- 988-
cip	- 985-
piama	- 910-
jom	- 863-
sinting	- 859-
demon	- 807-
bet	- 800-
jalang	- 758-
kabisat	- 718-
teruk	- 695-
bolpoin	- 678-
guk	- 554-
jem	- 545-
makaroni	- 435-
aprikot	- 422-
simbal	- 386-
barbeku	- 281-
jaz	- 258-
temu; kenal	- 253-
klarinet	- 241-
bedebah	- 209-
tumbuh; subur	- 206-
zombi	- 190-
panekuk	- 138-
sweter	- 95-
rasul	- 195,154-
lampung	- 143,071-
subsidi	- 131,866-
redaksi	- 106,119-
komoditas	- 89,823-
musyawarah	- 89,762-
wirausaha	- 62,630-
sunah	- 61,936-
hidayah	- 59,732-
sabda	- 55,630-
otonomi	- 55,420-
ustaz	- 48,568-
semen	- 47,677-
injil	- 47,598-
santri	- 46,561-
hakikat	- 46,534-
amanat	- 46,167-
hormon	- 45,505-
daulat	- 45,114-
anugerah	- 44,749-
darma	- 44,322-
areal	- 43,459-
bendahara	- 42,793-
juragan	- 40,885-
amanah	- 40,333-
jerat	- 37,610-
eksplorasi	- 37,356-
kukuh	- 35,901-
tuding	- 35,765-
akuisisi	- 35,263-
bek	- 35,138-
jemaat	- 34,526-
insentif	- 33,623-
armada	- 33,598-
konon	- 32,226-
rezeki	- 31,855-
spekulasi	- 31,764-
neraca	- 31,624-
pahala	- 31,245-
perkosa	- 31,064-
rampung	- 30,827-
man	- 30,614-
substansi	- 30,451-
item	- 30,073-
atom	- 29,980-
canang	- 29,806-
mutasi	- 29,661-
tukas	- 29,477-
rida	- 29,164-
fitnah	- 29,023-
lisan	- 28,888-
kumulasi	- 28,592-
stimulus	- 28,020-
sperma	- 27,945-
fatwa	- 27,605-
kaidah	- 27,518-
pangku	- 27,361-
gotong	- 26,587-
raden	- 26,540-
protokol	- 26,313-
razia	- 26,213-
kiamat	- 26,063-
lateral	- 25,964-
advokat	- 25,852-
nomina	- 25,634-
jasmani	- 24,904-
omzet	- 24,813-
paten	- 24,511-
kognisi	- 24,491-
klarifikasi	- 24,402-
atribut	- 24,389-
eksploitasi	- 24,150-
toreh	- 24,091-
predikat	- 23,318-
mediasi	- 22,905-
tebang	- 22,706-
irigasi	- 22,638-
metabolit	- 22,543-
isa	- 22,537-
cetus	- 22,389-
ziarah	- 22,231-
kesatria	- 22,196-
gen	- 21,687-
retribusi	- 21,638-
mukmin	- 21,601-
leluasa	- 21,515-
kab	- 21,510-
korps	- 21,494-
umrah	- 21,403-
besut	- 21,363-
dangdut	- 21,201-
metrik	- 21,112-
teologi	- 21,100-
letnan	- 21,074-
sadap	- 20,992-
banderol	- 20,944-
molekul	- 20,909-
trans	- 20,869-
sivitas	- 20,618-
manipulasi	- 20,514-
sembelih	- 20,337-
tandang	- 19,976-
candu	- 19,813-
telaah	- 19,791-
enzim	- 19,641-
bantai	- 19,347-
proklamasi	- 18,947-
nalar	- 18,803-
wira	- 18,648-
portofolio	- 18,641-
ecer	- 18,639-
spanduk	- 18,637-
gelut	- 18,509-
pasrah	- 18,458-
orasi	- 18,456-
vendor	- 18,388-
kusut; usut	- 18,385-
intim	- 18,294-
sekuler	- 18,217-
sujud	- 18,106-
umpama	- 18,011-
coret	- 17,975-
dinasti	- 17,906-
urine	- 17,873-
laskar	- 17,864-
rantau	- 17,808-
wibawa	- 17,766-
kontingen	- 17,741-
taruna	- 17,730-
perdata	- 17,646-
anjlok	- 17,557-
provokasi	- 17,442-
empiris	- 17,430-
oles	- 17,390-
lantun	- 17,242-
surplus	- 17,122-
corak	- 17,096-
kurs	- 17,086-
baptis	- 16,910-
permai	- 16,883-
kekal	- 16,871-
orgasme	- 16,765-
syahid	- 16,705-
pleno	- 16,670-
fluktuasi	- 16,498-
idam	- 16,491-
seleweng	- 16,488-
iur	- 16,476-
ilahi	- 16,403-
suvenir	- 16,328-
valuta	- 16,326-
yudisial	- 16,325-
degradasi	- 16,316-
doktrin	- 16,312-
ekspektasi	- 16,250-
tekstur	- 16,155-
ekologi	- 16,122-
boyong	- 16,091-
duel	- 16,013-
psikis	- 16,002-
genjot	- 15,995-
retail	- 15,775-
syarif	- 15,770-
resesi	- 15,717-
amuk	- 15,694-
waralaba	- 15,588-
reduksi	- 15,578-
biksu	- 15,537-
gusur	- 15,502-
selawat	- 15,432-
bani	- 15,351-
irit	- 15,348-
cuat	- 15,148-
bait	- 15,129-
talang	- 15,103-
siasat	- 15,040-
piutang	- 15,035-
monopoli	- 14,898-
rangkum	- 14,771-
piagam	- 14,707-
sinkron	- 14,700-
fitrah	- 14,699-
rombak	- 14,657-
gerebek	- 14,647-
term	- 14,578-
poligami	- 14,572-
penetrasi	- 14,530-
entas	- 14,483-
ram	- 14,455-
bahwasanya	- 14,454-
arkeologi	- 14,444-
ikhwan	- 14,368-
konsorsium	- 14,244-
inventaris	- 14,130-
jalar	- 14,129-
pikul	- 14,057-
seng	- 13,869-
jahil	- 13,850-
steril	- 13,815-
sembada	- 13,790-
lebur	- 13,780-
kiat	- 13,705-
amendemen	- 13,626-
abis	- 13,583-
sulap	- 13,509-
majemuk	- 13,490-
manifes	- 13,472-
ulur	- 13,468-
lovebird	- 13,457-
gembala	- 13,453-
maslahat	- 13,450-
detasemen	- 13,434-
mars	- 13,429-
kontinu	- 13,409-
diversitas	- 13,403-
fermentasi	- 13,341-
moderasi	- 13,322-
stimulasi	- 13,220-
singkong	- 13,212-
tancap	- 13,155-
hengkang	- 13,107-
krusial	- 13,056-
induksi	- 12,993-
destinasi	- 12,930-
ekspedisi	- 12,926-
entitas	- 12,910-
jelma	- 12,894-
gugah	- 12,768-
lacur	- 12,708-
mangsa	- 12,588-
gerus	- 12,519-
karisma	- 12,487-
tawur	- 12,359-
ion	- 12,347-
terpa	- 12,338-
cagar	- 12,314-
yuridis	- 12,299-
kontol	- 12,255-
ibadat	- 12,233-
silinder	- 12,208-
kontaminasi	- 12,178-
mandat	- 12,169-
borong	- 12,115-
arteri	- 12,087-
gema	- 12,071-
merak	- 12,034-
mistik	- 12,034-
erupsi	- 11,960-
panitera	- 11,946-
jerumus	- 11,940-
kencana	- 11,914-
kontraksi	- 11,835-
mantra	- 11,826-
plafon	- 11,825-
berahi	- 11,807-
autis	- 11,768-
ekspos	- 11,746-
sudi	- 11,739-
timpal	- 11,728-
maritim	- 11,720-
lawat	- 11,697-
sahut	- 11,690-
calo	- 11,624-
wudu	- 11,614-
lumas	- 11,571-
tangkal	- 11,561-
susila	- 11,504-
stagnan	- 11,490-
buron	- 11,487-
timpang	- 11,461-
segel	- 11,459-
lena	- 11,453-
keris	- 11,446-
disertasi	- 11,437-
jinak	- 11,430-
susup	- 11,371-
postur	- 11,355-
mukjizat	- 11,306-
jaja	- 11,261-
nobat	- 11,261-
prabu	- 11,250-
narasi	- 11,231-
reklame	- 11,193-
fisiologi	- 11,192-
sirsak	- 11,165-
muktamar	- 11,142-
strata	- 11,121-
selisik	- 11,103-
pantul	- 11,097-
alim	- 11,054-
dukuh	- 11,054-
gelontor	- 11,030-
grosir	- 11,028-
intai	- 10,998-
kikis	- 10,993-
seteru	- 10,992-
griya	- 10,948-
lubuk	- 10,927-
hujat	- 10,897-
empati	- 10,895-
dara	- 10,884-
nasrani	- 10,878-
merger	- 10,877-
glukosa	- 10,854-
khayal	- 10,849-
sepuh	- 10,832-
pekerti	- 10,824-
antropologi	- 10,792-
emoh	- 10,778-
banting	- 10,776-
pendam	- 10,759-
timba	- 10,680-
aurat	- 10,672-
konsiliasi	- 10,645-
kumandang	- 10,626-
talenta	- 10,618-
tribune	- 10,603-
panorama	- 10,600-
hakiki	- 10,554-
agregat	- 10,548-
sandera	- 10,524-
penggal	- 10,510-
tengara	- 10,503-
laden	- 10,460-
dus	- 10,447-
kudeta	- 10,446-
baginda	- 10,433-
hiruk	- 10,403-
belenggu	- 10,380-
cendekia	- 10,378-
petaka	- 10,373-
bajik	- 10,355-
kejang	- 10,337-
kendur	- 10,300-
madya	- 10,298-
pragmatis	- 10,298-
sindikat	- 10,283-
pinta	- 10,233-
bordir	- 10,225-
songsong	- 10,208-
biografi	- 10,204-
kronologi	- 10,204-
membran	- 10,155-
semu	- 10,069-
doang	- 10,056-
bungkam	- 10,032-
gambut	- 10,021-
salut	- 10,004-
jung	- 9,985-
keroyok	- 9,963-
mungkar	- 9,925-
tarekat	- 9,906-
wasiat	- 9,897-
ekstensi	- 9,882-
guruh	- 9,866-
sara	- 9,834-
dalem	- 9,830-
selubung	- 9,801-
intip	- 9,790-
analogi	- 9,789-
fi	- 9,788-
sambang	- 9,786-
kolega	- 9,783-
halau	- 9,772-
biara	- 9,770-
absah	- 9,753-
khitan	- 9,741-
spasi	- 9,734-
kapita	- 9,733-
jarah	- 9,726-
sajak	- 9,726-
gebrak	- 9,723-
hidrasi	- 9,708-
jubah	- 9,681-
kedaluwarsa	- 9,676-
perah	- 9,669-
curhat	- 9,643-
kodrat	- 9,633-
seling	- 9,630-
inklusif	- 9,622-
propaganda	- 9,575-
invasi	- 9,567-
ringkus	- 9,564-
elektoral	- 9,552-
tilik	- 9,522-
acung	- 9,515-
asih	- 9,513-
nugraha	- 9,513-
spektrum	- 9,504-
brutal	- 9,479-
sigap	- 9,476-
dilema	- 9,467-
simultan	- 9,467-
kandas	- 9,463-
rawan; perawan	- 9,463-
sisip	- 9,452-
cabul	- 9,389-
ikrar	- 9,384-
mujahid	- 9,372-
bekuk	- 9,363-
gerombol	- 9,355-
sakral	- 9,350-
hirau	- 9,305-
teritorial	- 9,230-
pagu	- 9,229-
kisruh	- 9,222-
pedih	- 9,210-
angan	- 9,195-
acap	- 9,190-
tampang	- 9,176-
preventif	- 9,166-
nyari	- 9,146-
pailit	- 9,135-
hisab	- 9,124-
sekat	- 9,103-
timbal	- 9,089-
netra	- 9,069-
polis	- 9,057-
fusi	- 9,048-
tabah	- 9,045-
keruh	- 9,037-
serviks	- 9,036-
madani	- 9,032-
komen	- 9,029-
sirih	- 9,028-
integral	- 9,020-
murtad	- 9,010-
coblos	- 8,999-
autopsi	- 8,990-
manuver	- 8,976-
tangkar	- 8,976-
rebak	- 8,975-
yuda	- 8,971-
kebaya	- 8,969-
basmi	- 8,951-
nahas	- 8,925-
larva	- 8,897-
cambuk	- 8,892-
eksotis	- 8,892-
kerupuk	- 8,890-
sendat	- 8,866-
singkap	- 8,823-
usut	- 8,819-
parut	- 8,811-
etanol	- 8,805-
sontek	- 8,780-
piawai	- 8,777-
intimidasi	- 8,753-
basa	- 8,744-
prostat	- 8,741-
teken	- 8,729-
patriot	- 8,704-
petak	- 8,703-
rasuk	- 8,693-
tambal	- 8,684-
ekuitas	- 8,671-
gaet	- 8,656-
cahari	- 8,648-
gempur	- 8,644-
plot	- 8,622-
toto	- 8,621-
takar	- 8,619-
koroner	- 8,588-
konspirasi	- 8,549-
langgeng	- 8,546-
gratifikasi	- 8,540-
suling	- 8,482-
arwah	- 8,480-
debar	- 8,463-
tumbuk	- 8,419-
kutat	- 8,401-
sergap	- 8,395-
sekte	- 8,390-
arang	- 8,360-
agun	- 8,333-
dulang	- 8,311-
lapak	- 8,301-
semak	- 8,288-
ricuh	- 8,271-
dai	- 8,263-
animo	- 8,262-
goyah	- 8,253-
laktat	- 8,242-
jajal	- 8,241-
aren	- 8,225-
memorandum	- 8,205-
konsol	- 8,198-
penggawa	- 8,135-
mani	- 8,115-
leleh	- 8,104-
detak	- 8,079-
cuek	- 8,076-
weda	- 8,073-
lahar	- 8,062-
milis	- 8,061-
tangkai	- 8,048-
gamblang	- 8,017-
rambat	- 8,016-
caci	- 8,007-
aib	- 7,998-
lengah	- 7,994-
jamak	- 7,970-
bercak	- 7,957-
kamal	- 7,951-
podium	- 7,947-
penat	- 7,942-
rukyat	- 7,940-
remisi	- 7,918-
loe	- 7,903-
percik	- 7,902-
awang	- 7,899-
kambuh	- 7,892-
pertiwi	- 7,888-
fiber	- 7,884-
gerhana	- 7,876-
retas	- 7,858-
boikot	- 7,855-
tonggak	- 7,831-
bonceng	- 7,813-
ayom	- 7,803-
pejam	- 7,801-
lamun	- 7,788-
kecimpung	- 7,787-
lahap	- 7,786-
ulet	- 7,775-
jawara	- 7,774-
sanding	- 7,766-
baliho	- 7,759-
laun	- 7,740-
jawat	- 7,737-
pelak	- 7,735-
gambir	- 7,730-
luntur	- 7,723-
dewata	- 7,717-
lumrah	- 7,716-
seluk	- 7,716-
suri	- 7,712-
tetas	- 7,708-
godok	- 7,703-
belia	- 7,699-
katarak	- 7,696-
demografi	- 7,695-
selaput	- 7,693-
bala	- 7,689-
cikal	- 7,683-
karma	- 7,681-
bius	- 7,671-
rogoh	- 7,650-
redup	- 7,649-
biang	- 7,627-
raut	- 7,613-
bondong	- 7,608-
meteor	- 7,568-
sandung	- 7,563-
sangkar	- 7,546-
interval	- 7,544-
anatomi	- 7,541-
nitrogen	- 7,534-
menopause	- 7,533-
absolut	- 7,532-
ingin; beringin	- 7,523-
kilah	- 7,515-
pergok	- 7,509-
eksplisit	- 7,502-
frasa	- 7,499-
lentur	- 7,496-
amen	- 7,490-
dasawarsa	- 7,489-
kusut	- 7,473-
nila	- 7,466-
bulus	- 7,459-
sagu	- 7,455-
reklamasi	- 7,442-
pabean	- 7,426-
richter	- 7,418-
torsi	- 7,418-
empu	- 7,412-
sangsi	- 7,410-
garda	- 7,407-
arbitrase	- 7,394-
walet	- 7,394-
hierarki	- 7,392-
royalti	- 7,379-
suaka	- 7,361-
lokomotif	- 7,359-
hinggap	- 7,348-
intuisi	- 7,336-
pedepokan	- 7,336-
divestasi	- 7,334-
najis	- 7,331-
konduksi	- 7,325-
rajut	- 7,313-
kapabilitas	- 7,312-
komplain	- 7,288-
superior	- 7,271-
celup	- 7,270-
umbar	- 7,270-
haluan	- 7,269-
melek	- 7,260-
geleng	- 7,257-
silih	- 7,256-
mikroskop	- 7,251-
neng	- 7,251-
bubuh	- 7,226-
harfiah	- 7,222-
nubuat	- 7,213-
renggut	- 7,213-
kelopak	- 7,201-
esai	- 7,188-
kekang	- 7,181-
eksterior	- 7,169-
pulung	- 7,159-
lampias	- 7,155-
kromo	- 7,142-
golak	- 7,127-
anus	- 7,126-
urung	- 7,117-
semayam	- 7,098-
poles	- 7,093-
sunting	- 7,091-
meriam	- 7,076-
kelabu	- 7,074-
sulam	- 7,067-
trayek	- 7,065-
balur	- 7,063-
konsensus	- 7,059-
falsafah	- 7,051-
nik	- 7,046-
geletak	- 7,044-
sadis	- 7,037-
pahat	- 7,016-
dekam	- 7,013-
bilas	- 7,002-
pulp	- 6,998-
lejit	- 6,996-
bilah	- 6,988-
matriks	- 6,987-
tenor	- 6,985-
anta	- 6,975-
rajalela	- 6,975-
vena	- 6,972-
separasi	- 6,955-
asar	- 6,954-
bisu	- 6,949-
persuasi	- 6,949-
kebut	- 6,948-
gumul	- 6,926-
gaduh	- 6,925-
impit	- 6,925-
maturasi	- 6,918-
komplot	- 6,907-
lorot	- 6,890-
cengang	- 6,876-
angklung	- 6,853-
ajal	- 6,830-
konvoi	- 6,821-
lancong	- 6,806-
talak	- 6,801-
gardu	- 6,783-
riuh	- 6,773-
cakar	- 6,763-
ventilasi	- 6,762-
seremoni	- 6,751-
spion	- 6,745-
alot	- 6,741-
bidadari	- 6,740-
ing	- 6,738-
runcing	- 6,702-
iming	- 6,689-
jiran	- 6,688-
